DeliveryDate,HourEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,Model,InUseFlag,DSTFlag
09/08/2022,1:00,11077.6084,1581.9121,4847.5815,1231.7635,13994.5059,7897.3037,3599.438,1244.5978,45474.7109,A3,N,N
09/08/2022,1:00,10747.3086,1547.3132,4764.5737,1253.3649,13891.7578,7997.1289,3614.574,1273.1556,45089.1767,A6,N,N
09/08/2022,1:00,11450.2002,1572.74,4888.7002,1242.61,14003.2998,7636.1401,3545.71,1219.15,45558.5503,E,N,N
09/08/2022,1:00,11384.5,1568.61,4887.9902,1242.47,13997,7605.8301,3547.02,1219.22,45452.6403,E1,Y,N
09/08/2022,1:00,11395.4004,1569.6801,4887.1602,1242.17,14009.2998,7589.25,3542.3999,1221.04,45456.4004,E2,N,N
09/08/2022,1:00,11315.4004,1565.33,4885.75,1241.08,13956.4004,7560.77,3549.8301,1217.16,45291.7209,E3,N,N
09/08/2022,1:00,11372.8955,1568.349,4887.1055,1241.9294,13986.8105,7590.4604,3546.6519,1218.9435,45413.1457,M,N,N
09/08/2022,2:00,10963.8193,1488.0332,4905.0391,1180.5062,13169.7725,7206.5542,3397.2036,1176.0813,43487.0094,A3,N,N
09/08/2022,2:00,10835.3027,1509.5067,4927.5156,1187.1202,13147.3223,7154.7861,3417.3181,1161.9834,43340.8551,A6,N,N
09/08/2022,2:00,10978.9004,1500.3101,4869.46,1189.63,13141.7002,7246.5,3370.0801,1226.33,43522.9108,E,N,N
09/08/2022,2:00,10910.0996,1496.1801,4870.6201,1189.9,13154.0996,7224.25,3369.6899,1230.62,43445.4593,E1,Y,N
09/08/2022,2:00,10929.2998,1498.05,4868.1401,1190.24,13159.7002,7208.1401,3369.72,1231.9399,43455.2301,E2,N,N
09/08/2022,2:00,10881.2998,1495.73,4872.7798,1190.25,13137.2002,7193.3599,3374.1299,1231.46,43376.2096,E3,N,N
09/08/2022,2:00,10915.1396,1497.1096,4870.582,1190.067,13147.7246,7212.749,3371.3101,1230.6005,43435.2824,M,N,N
09/08/2022,3:00,10602.0176,1436.561,4843.8325,1143.9808,12321.8643,6854.7109,3256.1816,1163.0078,41622.1565,A3,N,N
09/08/2022,3:00,10636.5732,1420.9563,4891.4932,1145.9286,12419.0684,6839.5132,3292.2708,1148.4493,41794.253,A6,N,N
09/08/2022,3:00,10704.5996,1445.62,4790.4399,1150.51,12544.4004,6919.7202,3229.8501,1188.02,41973.1602,E,N,N
09/08/2022,3:00,10643.9004,1444.4,4791.3398,1150.55,12542,6885.52,3231.25,1189.92,41878.8802,E1,Y,N
