"Eastern Date Hour","Zone Name","DAM Forecast Load","GMT Start Hour"
"2016/01/01 00:00:00","CAPITL","1177","5"
"2016/01/01 00:00:00","CENTRL","1504","5"
"2016/01/01 00:00:00","DUNWOD","617","5"
"2016/01/01 00:00:00","GENESE","912","5"
"2016/01/01 00:00:00","HUD VL","938","5"
"2016/01/01 00:00:00","LONGIL","2145","5"
"2016/01/01 00:00:00","MHK VL","604","5"
"2016/01/01 00:00:00","MILLWD","296","5"
"2016/01/01 00:00:00","N.Y.C.","4954","5"
"2016/01/01 00:00:00","NORTH","489","5"
"2016/01/01 00:00:00","WEST","1598","5"
"2016/01/01 01:00:00","CAPITL","1098","6"
"2016/01/01 01:00:00","CENTRL","1417","6"
"2016/01/01 01:00:00","DUNWOD","604","6"
"2016/01/01 01:00:00","GENESE","862","6"
"2016/01/01 01:00:00","HUD VL","894","6"
"2016/01/01 01:00:00","LONGIL","1997","6"
"2016/01/01 01:00:00","MHK VL","566","6"
"2016/01/01 01:00:00","MILLWD","280","6"
"2016/01/01 01:00:00","N.Y.C.","4752","6"
"2016/01/01 01:00:00","NORTH","488","6"
"2016/01/01 01:00:00","WEST","1528","6"
"2016/01/01 02:00:00","CAPITL","1035","7"
"2016/01/01 02:00:00","CENTRL","1354","7"
"2016/01/01 02:00:00","DUNWOD","579","7"
"2016/01/01 02:00:00","GENESE","825","7"
"2016/01/01 02:00:00","HUD VL","830","7"
"2016/01/01 02:00:00","LONGIL","1884","7"
"2016/01/01 02:00:00","MHK VL","552","7"
"2016/01/01 02:00:00","MILLWD","273","7"
"2016/01/01 02:00:00","N.Y.C.","4541","7"
"2016/01/01 02:00:00","NORTH","482","7"
"2016/01/01 02:00:00","WEST","1481","7"
"2016/01/01 03:00:00","CAPITL","1015","8"
"2016/01/01 03:00:00","CENTRL","1338","8"
"2016/01/01 03:00:00","DUNWOD","559","8"
"2016/01/01 03:00:00","GENESE","807","8"
"2016/01/01 03:00:00","HUD VL","806","8"
"2016/01/01 03:00:00","LONGIL","1811","8"
"2016/01/01 03:00:00","MHK VL","548","8"
"2016/01/01 03:00:00","MILLWD","257","8"
"2016/01/01 03:00:00","N.Y.C.","4377","8"
"2016/01/01 03:00:00","NORTH","487","8"
"2016/01/01 03:00:00","WEST","1456","8"
"2016/01/01 04:00:00","CAPITL","992","9"
"2016/01/01 04:00:00","CENTRL","1353","9"
"2016/01/01 04:00:00","DUNWOD","544","9"
"2016/01/01 04:00:00","GENESE","805","9"
"2016/01/01 04:00:00","HUD VL","798","9"
"2016/01/01 04:00:00","LONGIL","1759","9"
"2016/01/01 04:00:00","MHK VL","545","9"
"2016/01/01 04:00:00","MILLWD","251","9"
"2016/01/01 04:00:00","N.Y.C.","4274","9"
"2016/01/01 04:00:00","NORTH","484","9"
"2016/01/01 04:00:00","WEST","1438","9"
"2016/01/01 05:00:00","CAPITL","1029","10"
"2016/01/01 05:00:00","CENTRL","1357","10"
"2016/01/01 05:00:00","DUNWOD","550","10"
"2016/01/01 05:00:00","GENESE","818","10"
"2016/01/01 05:00:00","HUD VL","823","10"
"2016/01/01 05:00:00","LONGIL","1759","10"
"2016/01/01 05:00:00","MHK VL","552","10"
"2016/01/01 05:00:00","MILLWD","259","10"
"2016/01/01 05:00:00","N.Y.C.","4280","10"
"2016/01/01 05:00:00","NORTH","497","10"
"2016/01/01 05:00:00","WEST","1450","10"
"2016/01/01 06:00:00","CAPITL","1041","11"
"2016/01/01 06:00:00","CENTRL","1382","11"
"2016/01/01 06:00:00","DUNWOD","557","11"
"2016/01/01 06:00:00","GENESE","832","11"
"2016/01/01 06:00:00","HUD VL","837","11"
"2016/01/01 06:00:00","LONGIL","1784","11"
"2016/01/01 06:00:00","MHK VL","574","11"
"2016/01/01 06:00:00","MILLWD","256","11"
"2016/01/01 06:00:00","N.Y.C.","4357","11"
"2016/01/01 06:00:00","NORTH","499","11"
"2016/01/01 06:00:00","WEST","1463","11"
"2016/01/01 07:00:00","CAPITL","1056","12"
"2016/01/01 07:00:00","CENTRL","1414","12"
"2016/01/01 07:00:00","DUNWOD","548","12"
"2016/01/01 07:00:00","GENESE","849","12"
"2016/01/01 07:00:00","HUD VL","839","12"
"2016/01/01 07:00:00","LONGIL","1769","12"
"2016/01/01 07:00:00","MHK VL","585","12"
"2016/01/01 07:00:00","MILLWD","248","12"
"2016/01/01 07:00:00","N.Y.C.","4424","12"
"2016/01/01 07:00:00","NORTH","494","12"
"2016/01/01 07:00:00","WEST","1472","12"
"2016/01/01 08:00:00","CAPITL","1100","13"
"2016/01/01 08:00:00","CENTRL","1449","13"
"2016/01/01 08:00:00","DUNWOD","552","13"
