date_time,raw demand (MW),category,cleaned demand (MW)
2016-01-01 00:00:00,13324.0,OKAY,13324
2016-01-01 01:00:00,13226.0,OKAY,13226
2016-01-01 02:00:00,13062.0,OKAY,13062
2016-01-01 03:00:00,12807.0,OKAY,12807
2016-01-01 04:00:00,12366.0,OKAY,12366
2016-01-01 05:00:00,11661.0,OKAY,11661
2016-01-01 06:00:00,10669.0,OKAY,10669
2016-01-01 07:00:00,10290.0,OKAY,10290
2016-01-01 08:00:00,10010.0,OKAY,10010
2016-01-01 09:00:00,9847.0,OKAY,9847
2016-01-01 10:00:00,9778.0,OKAY,9778
2016-01-01 11:00:00,9865.0,OKAY,9865
2016-01-01 12:00:00,10162.0,OKAY,10162
2016-01-01 13:00:00,10561.0,OKAY,10561
2016-01-01 14:00:00,10613.0,OKAY,10613
2016-01-01 15:00:00,10620.0,OKAY,10620
2016-01-01 16:00:00,10750.0,OKAY,10750
2016-01-01 17:00:00,10868.0,OKAY,10868
2016-01-01 18:00:00,10886.0,OKAY,10886
2016-01-01 19:00:00,10843.0,OKAY,10843
2016-01-01 20:00:00,10791.0,OKAY,10791
2016-01-01 21:00:00,10762.0,OKAY,10762
2016-01-01 22:00:00,10905.0,OKAY,10905
2016-01-01 23:00:00,11757.0,OKAY,11757
2016-01-02 00:00:00,12685.0,OKAY,12685
2016-01-02 01:00:00,12687.0,OKAY,12687
2016-01-02 02:00:00,12615.0,OKAY,12615
2016-01-02 03:00:00,12427.0,OKAY,12427
2016-01-02 04:00:00,12097.0,OKAY,12097
2016-01-02 05:00:00,11531.0,OKAY,11531
2016-01-02 06:00:00,10855.0,OKAY,10855
2016-01-02 07:00:00,10368.0,OKAY,10368
2016-01-02 08:00:00,10077.0,OKAY,10077
2016-01-02 09:00:00,9881.0,OKAY,9881
2016-01-02 10:00:00,9823.0,OKAY,9823
2016-01-02 11:00:00,9894.0,OKAY,9894
2016-01-02 12:00:00,10165.0,OKAY,10165
2016-01-02 13:00:00,10505.0,OKAY,10505
2016-01-02 14:00:00,10679.0,OKAY,10679
2016-01-02 15:00:00,10875.0,OKAY,10875
2016-01-02 16:00:00,11017.0,OKAY,11017
2016-01-02 17:00:00,11024.0,OKAY,11024
2016-01-02 18:00:00,10957.0,OKAY,10957
2016-01-02 19:00:00,10777.0,OKAY,10777
2016-01-02 20:00:00,10593.0,OKAY,10593
2016-01-02 21:00:00,10492.0,OKAY,10492
2016-01-02 22:00:00,10567.0,OKAY,10567
2016-01-02 23:00:00,11183.0,OKAY,11183
2016-01-03 00:00:00,11736.0,OKAY,11736
2016-01-03 01:00:00,11834.0,OKAY,11834
2016-01-03 02:00:00,11786.0,OKAY,11786
2016-01-03 03:00:00,11669.0,OKAY,11669
2016-01-03 04:00:00,11407.0,OKAY,11407
2016-01-03 05:00:00,10956.0,OKAY,10956
2016-01-03 06:00:00,10292.0,OKAY,10292
2016-01-03 07:00:00,9861.0,OKAY,9861
2016-01-03 08:00:00,9593.0,OKAY,9593
2016-01-03 09:00:00,9433.0,OKAY,9433
2016-01-03 10:00:00,9366.0,OKAY,9366
2016-01-03 11:00:00,9412.0,OKAY,9412
2016-01-03 12:00:00,9576.0,OKAY,9576
2016-01-03 13:00:00,9824.0,OKAY,9824
2016-01-03 14:00:00,9903.0,OKAY,9903
2016-01-03 15:00:00,10099.0,OKAY,10099
2016-01-03 16:00:00,10273.0,OKAY,10273
2016-01-03 17:00:00,10363.0,OKAY,10363
2016-01-03 18:00:00,10392.0,OKAY,10392
2016-01-03 19:00:00,10365.0,OKAY,10365
2016-01-03 20:00:00,10312.0,OKAY,10312
2016-01-03 21:00:00,10306.0,OKAY,10306
2016-01-03 22:00:00,10426.0,OKAY,10426
2016-01-03 23:00:00,11064.0,OKAY,11064
2016-01-04 00:00:00,11762.0,OKAY,11762
2016-01-04 01:00:00,11819.0,OKAY,11819
2016-01-04 02:00:00,11763.0,OKAY,11763
2016-01-04 03:00:00,11608.0,OKAY,11608
2016-01-04 04:00:00,11301.0,OKAY,11301
2016-01-04 05:00:00,10808.0,OKAY,10808
2016-01-04 06:00:00,10260.0,OKAY,10260
2016-01-04 07:00:00,9897.0,OKAY,9897
2016-01-04 08:00:00,9703.0,OKAY,9703
2016-01-04 09:00:00,9618.0,OKAY,9618
2016-01-04 10:00:00,9688.0,OKAY,9688
2016-01-04 11:00:00,9966.0,OKAY,9966
2016-01-04 12:00:00,10629.0,OKAY,10629
2016-01-04 13:00:00,11579.0,OKAY,11579
2016-01-04 14:00:00,12034.0,OKAY,12034
2016-01-04 15:00:00,12149.0,OKAY,12149
2016-01-04 16:00:00,12224.0,OKAY,12224
2016-01-04 17:00:00,12246.0,OKAY,12246
2016-01-04 18:00:00,12163.0,OKAY,12163
2016-01-04 19:00:00,12059.0,OKAY,12059
2016-01-04 20:00:00,12011.0,OKAY,12011
2016-01-04 21:00:00,11946.0,OKAY,11946
2016-01-04 22:00:00,11978.0,OKAY,11978
2016-01-04 23:00:00,12528.0,OKAY,12528
2016-01-05 00:00:00,13140.0,OKAY,13140
2016-01-05 01:00:00,13131.0,OKAY,13131
2016-01-05 02:00:00,12983.0,OKAY,12983
2016-01-05 03:00:00,12767.0,OKAY,12767
2016-01-05 04:00:00,12309.0,OKAY,12309
2016-01-05 05:00:00,11582.0,OKAY,11582
2016-01-05 06:00:00,10865.0,OKAY,10865
2016-01-05 07:00:00,10410.0,OKAY,10410
2016-01-05 08:00:00,10142.0,OKAY,10142
2016-01-05 09:00:00,10001.0,OKAY,10001
2016-01-05 10:00:00,10020.0,OKAY,10020
2016-01-05 11:00:00,10272.0,OKAY,10272
2016-01-05 12:00:00,10897.0,OKAY,10897
2016-01-05 13:00:00,11763.0,OKAY,11763
2016-01-05 14:00:00,12121.0,OKAY,12121
2016-01-05 15:00:00,12156.0,OKAY,12156
2016-01-05 16:00:00,12161.0,OKAY,12161
2016-01-05 17:00:00,12147.0,OKAY,12147
2016-01-05 18:00:00,12063.0,OKAY,12063
2016-01-05 19:00:00,11935.0,OKAY,11935
2016-01-05 20:00:00,11842.0,OKAY,11842
2016-01-05 21:00:00,11722.0,OKAY,11722
2016-01-05 22:00:00,11709.0,OKAY,11709
2016-01-05 23:00:00,12246.0,OKAY,12246
2016-01-06 00:00:00,12835.0,OKAY,12835
2016-01-06 01:00:00,12820.0,OKAY,12820
2016-01-06 02:00:00,12723.0,OKAY,12723
2016-01-06 03:00:00,12544.0,OKAY,12544
2016-01-06 04:00:00,12111.0,OKAY,12111
2016-01-06 05:00:00,11402.0,OKAY,11402
2016-01-06 06:00:00,10692.0,OKAY,10692
2016-01-06 07:00:00,10223.0,OKAY,10223
2016-01-06 08:00:00,9959.0,OKAY,9959
2016-01-06 09:00:00,9810.0,OKAY,9810
2016-01-06 10:00:00,9812.0,OKAY,9812
2016-01-06 11:00:00,10069.0,OKAY,10069
2016-01-06 12:00:00,10695.0,OKAY,10695
2016-01-06 13:00:00,11556.0,OKAY,11556
2016-01-06 14:00:00,11946.0,OKAY,11946
2016-01-06 15:00:00,12002.0,OKAY,12002
2016-01-06 16:00:00,12036.0,OKAY,12036
2016-01-06 17:00:00,12050.0,OKAY,12050
2016-01-06 18:00:00,11991.0,OKAY,11991
2016-01-06 19:00:00,11886.0,OKAY,11886
2016-01-06 20:00:00,11831.0,OKAY,11831
2016-01-06 21:00:00,11735.0,OKAY,11735
2016-01-06 22:00:00,11768.0,OKAY,11768
2016-01-06 23:00:00,12285.0,OKAY,12285
2016-01-07 00:00:00,12783.0,OKAY,12783
2016-01-07 01:00:00,12733.0,OKAY,12733
2016-01-07 02:00:00,12600.0,OKAY,12600
2016-01-07 03:00:00,12376.0,OKAY,12376
2016-01-07 04:00:00,11948.0,OKAY,11948
2016-01-07 05:00:00,11252.0,OKAY,11252
2016-01-07 06:00:00,10415.0,OKAY,10415
2016-01-07 07:00:00,9916.0,OKAY,9916
2016-01-07 08:00:00,9626.0,OKAY,9626
2016-01-07 09:00:00,9440.0,OKAY,9440
2016-01-07 10:00:00,9422.0,OKAY,9422
2016-01-07 11:00:00,9652.0,OKAY,9652
2016-01-07 12:00:00,10271.0,OKAY,10271
2016-01-07 13:00:00,11205.0,OKAY,11205
2016-01-07 14:00:00,11685.0,OKAY,11685
2016-01-07 15:00:00,11795.0,OKAY,11795
2016-01-07 16:00:00,11884.0,OKAY,11884
2016-01-07 17:00:00,11941.0,OKAY,11941
2016-01-07 18:00:00,11923.0,OKAY,11923
2016-01-07 19:00:00,11856.0,OKAY,11856
2016-01-07 20:00:00,11813.0,OKAY,11813
2016-01-07 21:00:00,11729.0,OKAY,11729
2016-01-07 22:00:00,11760.0,OKAY,11760
2016-01-07 23:00:00,12243.0,OKAY,12243
2016-01-08 00:00:00,12704.0,OKAY,12704
2016-01-08 01:00:00,12630.0,OKAY,12630
2016-01-08 02:00:00,12431.0,OKAY,12431
2016-01-08 03:00:00,12138.0,OKAY,12138
2016-01-08 04:00:00,11687.0,OKAY,11687
2016-01-08 05:00:00,10986.0,OKAY,10986
2016-01-08 06:00:00,10216.0,OKAY,10216
2016-01-08 07:00:00,9696.0,OKAY,9696
2016-01-08 08:00:00,9384.0,OKAY,9384
2016-01-08 09:00:00,9206.0,OKAY,9206
2016-01-08 10:00:00,9171.0,OKAY,9171
2016-01-08 11:00:00,9387.0,OKAY,9387
2016-01-08 12:00:00,9962.0,OKAY,9962
2016-01-08 13:00:00,10879.0,OKAY,10879
2016-01-08 14:00:00,11388.0,OKAY,11388
2016-01-08 15:00:00,11532.0,OKAY,11532
2016-01-08 16:00:00,11626.0,OKAY,11626
2016-01-08 17:00:00,11671.0,OKAY,11671
2016-01-08 18:00:00,11606.0,OKAY,11606
2016-01-08 19:00:00,11481.0,OKAY,11481
2016-01-08 20:00:00,11399.0,OKAY,11399
2016-01-08 21:00:00,11308.0,OKAY,11308
2016-01-08 22:00:00,11375.0,OKAY,11375
2016-01-08 23:00:00,11941.0,OKAY,11941
2016-01-09 00:00:00,12403.0,OKAY,12403
2016-01-09 01:00:00,12314.0,OKAY,12314
2016-01-09 02:00:00,11988.0,OKAY,11988
2016-01-09 03:00:00,11624.0,OKAY,11624
2016-01-09 04:00:00,11270.0,OKAY,11270
2016-01-09 05:00:00,10652.0,OKAY,10652
2016-01-09 06:00:00,10134.0,OKAY,10134
2016-01-09 07:00:00,9572.0,OKAY,9572
2016-01-09 08:00:00,9209.0,OKAY,9209
2016-01-09 09:00:00,8996.0,OKAY,8996
2016-01-09 10:00:00,8918.0,OKAY,8918
2016-01-09 11:00:00,8965.0,OKAY,8965
2016-01-09 12:00:00,9212.0,OKAY,9212
2016-01-09 13:00:00,9653.0,OKAY,9653
2016-01-09 14:00:00,10001.0,OKAY,10001
2016-01-09 15:00:00,10312.0,OKAY,10312
2016-01-09 16:00:00,10593.0,OKAY,10593
2016-01-09 17:00:00,10715.0,OKAY,10715
2016-01-09 18:00:00,10709.0,OKAY,10709
2016-01-09 19:00:00,10602.0,OKAY,10602
2016-01-09 20:00:00,10448.0,OKAY,10448
2016-01-09 21:00:00,10392.0,OKAY,10392
2016-01-09 22:00:00,10500.0,OKAY,10500
2016-01-09 23:00:00,11205.0,OKAY,11205
2016-01-10 00:00:00,11788.0,OKAY,11788
2016-01-10 01:00:00,11737.0,OKAY,11737
2016-01-10 02:00:00,11575.0,OKAY,11575
2016-01-10 03:00:00,11404.0,OKAY,11404
2016-01-10 04:00:00,11124.0,OKAY,11124
2016-01-10 05:00:00,10631.0,OKAY,10631
2016-01-10 06:00:00,10427.0,OKAY,10427
2016-01-10 07:00:00,10059.0,OKAY,10059
2016-01-10 08:00:00,9833.0,OKAY,9833
2016-01-10 09:00:00,9675.0,OKAY,9675
2016-01-10 10:00:00,9642.0,OKAY,9642
2016-01-10 11:00:00,9713.0,OKAY,9713
2016-01-10 12:00:00,9939.0,OKAY,9939
2016-01-10 13:00:00,10273.0,OKAY,10273
2016-01-10 14:00:00,10341.0,OKAY,10341
2016-01-10 15:00:00,10574.0,OKAY,10574
2016-01-10 16:00:00,10819.0,OKAY,10819
2016-01-10 17:00:00,10990.0,OKAY,10990
2016-01-10 18:00:00,11120.0,OKAY,11120
2016-01-10 19:00:00,11208.0,OKAY,11208
2016-01-10 20:00:00,11187.0,OKAY,11187
2016-01-10 21:00:00,11219.0,OKAY,11219
2016-01-10 22:00:00,11373.0,OKAY,11373
2016-01-10 23:00:00,12123.0,OKAY,12123
2016-01-11 00:00:00,12858.0,OKAY,12858
2016-01-11 01:00:00,13007.0,OKAY,13007
2016-01-11 02:00:00,13044.0,OKAY,13044
2016-01-11 03:00:00,12849.0,OKAY,12849
2016-01-11 04:00:00,12437.0,OKAY,12437
2016-01-11 05:00:00,11791.0,OKAY,11791
2016-01-11 06:00:00,11510.0,OKAY,11510
2016-01-11 07:00:00,11137.0,OKAY,11137
2016-01-11 08:00:00,10896.0,OKAY,10896
2016-01-11 09:00:00,10841.0,OKAY,10841
2016-01-11 10:00:00,10881.0,OKAY,10881
2016-01-11 11:00:00,11217.0,OKAY,11217
2016-01-11 12:00:00,12175.0,OKAY,12175
2016-01-11 13:00:00,13443.0,OKAY,13443
2016-01-11 14:00:00,13899.0,OKAY,13899
2016-01-11 15:00:00,13983.0,OKAY,13983
2016-01-11 16:00:00,13921.0,OKAY,13921
2016-01-11 17:00:00,13858.0,OKAY,13858
2016-01-11 18:00:00,13740.0,OKAY,13740
2016-01-11 19:00:00,13594.0,OKAY,13594
2016-01-11 20:00:00,13527.0,OKAY,13527
2016-01-11 21:00:00,13412.0,OKAY,13412
2016-01-11 22:00:00,13385.0,OKAY,13385
2016-01-11 23:00:00,13874.0,OKAY,13874
2016-01-12 00:00:00,14424.0,OKAY,14424
2016-01-12 01:00:00,14439.0,OKAY,14439
2016-01-12 02:00:00,14307.0,OKAY,14307
2016-01-12 03:00:00,14037.0,OKAY,14037
2016-01-12 04:00:00,13509.0,OKAY,13509
2016-01-12 05:00:00,12618.0,OKAY,12618
2016-01-12 06:00:00,11568.0,OKAY,11568
2016-01-12 07:00:00,11133.0,OKAY,11133
2016-01-12 08:00:00,10925.0,OKAY,10925
2016-01-12 09:00:00,10815.0,OKAY,10815
2016-01-12 10:00:00,10862.0,OKAY,10862
2016-01-12 11:00:00,11097.0,OKAY,11097
2016-01-12 12:00:00,11706.0,OKAY,11706
2016-01-12 13:00:00,12667.0,OKAY,12667
2016-01-12 14:00:00,13118.0,OKAY,13118
2016-01-12 15:00:00,13154.0,OKAY,13154
2016-01-12 16:00:00,13222.0,OKAY,13222
2016-01-12 17:00:00,13243.0,OKAY,13243
2016-01-12 18:00:00,13223.0,OKAY,13223
